row_index_zero_based,CID,zCMB,c,HOST_LOGMASS,biasCor_m_b,m_b_corr,low_mass_curve,high_mass_curve,delta_m_b_corr,m_b_corr_reconstructed
98,2013cs,0.010290000000000001,0.054047999999999999,9.4130000000000003,0.045900000000000003,13.0823,0.024284605394076914,-0.0752478608545986,0.099532466248675511,13.181832466248675
121,1997do,0.01048,0.077582999999999999,9.5939999999999994,0.050200000000000002,13.8551,0.030744070082657483,-0.086578936142340496,0.11732300622499797,13.972423006224998
133,2009kk,0.01244,-0.120964,9.5195299999999996,0.079500000000000001,14.449299999999999,0.061292440947528337,0.045418421426672392,0.015874019520855945,14.465174019520855
141,2001ep,0.01306,0.00082899999999999998,9.8817299999999992,0.022200000000000001,14.3835,0.015823213338900077,-0.048038678932256253,0.063861892271156323,14.447361892271156
142,2001ep,0.01306,0.060153999999999999,9.8817299999999992,0.036700000000000003,14.2498,0.025849249440448994,-0.078194792067846741,0.10404404150829574,14.353844041508296
158,1999dk,0.014,0.019292,9.6409900000000004,0.025700000000000001,14.552300000000001,0.017503690287665352,-0.057929948531065395,0.075433638818730747,14.627733638818732
159,1999dk,0.014,-0.0027039999999999998,9.6409900000000004,0.0212,14.412100000000001,0.015687774067361149,-0.046067348970740836,0.061755123038101989,14.473855123038103
164,2007ca,0.015089999999999999,0.15106,9.4445099999999993,0.069599999999999995,15.083600000000001,0.05334337412035578,-0.12498314071862812,0.1783265148389839,15.261926514838985
165,2007ca,0.015089999999999999,0.20416999999999999,9.4445099999999993,0.095399999999999999,14.9251,0.06415861941894288,-0.16106170586764917,0.22522032528659205,15.150320325286593
166,2007ca,0.015089999999999999,0.20709,9.4445099999999993,0.095600000000000004,14.999000000000001,0.064454870152888644,-0.16336247101512302,0.22781734116801167,15.226817341168012
167,2006N,0.014160000000000001,-0.059251999999999999,9.7064199999999996,0.034099999999999998,14.6548,0.02372336970510687,-0.0096350049463706927,0.033358374651477563,14.688158374651477
174,2001fe,0.01448,-0.055329000000000003,9.9561700000000002,0.019099999999999999,14.6386,0.022456127408104945,-0.012521776081796554,0.034977903489901499,14.673577903489901
178,2011df,0.014019999999999999,0.018123,9.7836800000000004,0.019199999999999998,14.599399999999999,0.017352127991864211,-0.057321837767367947,0.074673965759232158,14.674073965759231
187,2008bc,0.015720000000000001,-0.13229099999999999,9.9208599999999993,0.076999999999999999,14.780099999999999,0.072282898272444204,0.05783735684084497,0.014445541431599235,14.794545541431598
191,2001en,0.015339999999999999,-0.050738999999999999,9.4773200000000006,0.023599999999999999,14.7464,0.021122297046146765,-0.015821201129818767,0.036943498175965532,14.783343498175965
192,2001en,0.015339999999999999,0.0061469999999999997,9.4773200000000006,0.017999999999999999,14.632199999999999,0.016144609452885504,-0.050955052088907923,0.067099661541793421,14.699299661541792
211,2013fw,0.015699999999999999,-0.032516000000000003,9.7636000000000003,0.0141,14.9078,0.017324606518718571,-0.028148996074610782,0.045473602593329353,14.953273602593329
215,SN2016gfr,0.016299999999999999,-0.022859999999999998,9.5631699999999995,0.026100000000000002,14.6455,0.01621452408382739,-0.034229025607676732,0.050443549691504122,14.695943549691505
216,ASASSN-16ip,0.016320000000000001,-0.020215,9.7533300000000001,0.0195,14.914899999999999,0.016011804479071121,-0.035845204811306652,0.051857009290377773,14.966757009290378
223,ASASSN-15od,0.01678,-0.101117,9.51783,0.056099999999999997,15.087899999999999,0.045297989098230351,0.025528969369254279,0.019769019728976073,15.107669019728975
231,2007fb,0.016799999999999999,-0.028837999999999999,9.6287000000000003,0.0223,15.1479,0.016831810065425154,-0.030499226712153948,0.047331036777579105,15.19523103677758
232,2007fb,0.016799999999999999,-0.119162,9.6287000000000003,0.075700000000000003,15.257099999999999,0.059672052970804607,0.043516554704403021,0.016155498266401586,15.273255498266401
266,1992bc,0.01976,-0.138261,9.6133799999999994,0.086300000000000002,15.2591,0.078649790595454447,0.06471587549754336,0.013933915097911087,15.273033915097912
279,ASASSN-15lg,0.02121,-0.082581000000000002,9.6666399999999992,0.0441,15.402200000000001,0.033838261989156015,0.0089131653415423645,0.024925096647613651,15.427125096647615
281,PSNJ1602512,0.020389999999999998,0.097168000000000004,9.8170099999999998,0.0872,15.303000000000001,0.036759988889336279,-0.096120660612843759,0.13288064950218004,15.435880649502181
284,2010A,0.020789999999999999,0.1036,9.92075,0.044600000000000001,15.2333,0.038798436767206235,-0.099321462087508819,0.13811989885471504,15.371419898854715
300,ASASSN-15uv,0.02104,0.27395000000000003,9.4581499999999998,0.13489999999999999,15.3584,0.058290638937444933,-0.22819149233348437,0.28648213127092931,15.644882131270929
307,2009na,0.022089999999999999,-0.057431999999999997,9.8857099999999996,0.023400000000000001,15.4947,0.023120676407549466,-0.010982061569585887,0.034102737977135353,15.528802737977136
327,ASASSN-15il,0.023740000000000001,-0.11218,9.8743400000000001,0.056500000000000002,15.605399999999999,0.053716175431813354,0.036332372609991823,0.017383802821821531,15.622783802821822
333,ASASSN-14fa,0.022620000000000001,-0.090364,9.7486499999999996,0.0511,15.630000000000001,0.038260719578821115,0.015673227207194732,0.022587492371626383,15.652587492371627
343,ASASSN-15nr,0.023089999999999999,0.028589,9.8846500000000006,0.038699999999999998,15.5801,0.018905506060607043,-0.062693427049436853,0.081598933110043903,15.661698933110044
352,ASASSN-15jt,0.023959999999999999,0.21149000000000001,9.9154199999999992,0.067299999999999999,15.635999999999999,0.064827467893385754,-0.16690234933414136,0.23172981722752711,15.867729817227527
358,2000bh,0.024209999999999999,-0.0049579999999999997,9.5092999999999996,0.0123,15.6252,0.015635056656960779,-0.044794768806144462,0.060429825463105241,15.685629825463105
359,2007F,0.024199999999999999,-0.012123,9.6394099999999998,0.0118,15.6891,0.015648557382718233,-0.040667668358059128,0.056316225740777361,15.745416225740778
360,2007F,0.024199999999999999,-0.068212999999999996,9.6394099999999998,0.022499999999999999,15.831,0.02707352237457198,-0.0027991114904948947,0.029872633865066875,15.860872633865066
366,2005bg,0.024140000000000002,-0.060615000000000002,9.7332099999999997,0.021399999999999999,15.757199999999999,0.02419165890896181,-0.0086172330151233351,0.032808891924085148,15.790008891924085
376,ASASSN-16hz,0.024060000000000002,0.09128,9.5527099999999994,0.064899999999999999,15.558199999999999,0.034913447948261046,-0.09322506503842734,0.12813851298668838,15.686338512986687
407,ASASSN-15uu,0.02579,0.16344,9.7057900000000004,0.1079,15.769299999999999,0.056613596783006176,-0.1325347628059434,0.18914835958894957,15.958448359588949
416,2007co,0.026550000000000001,0.021975999999999999,9.8171900000000001,0.0126,16.090699999999998,0.017873082518197428,-0.059318051208357078,0.077191133726554506,16.167891133726553
417,2007co,0.026550000000000001,0.066694000000000003,9.8171900000000001,0.012,15.8588,0.027618512257179269,-0.081340745796412706,0.10895925805359197,15.967759258053592
418,2007co,0.026550000000000001,0.054766000000000002,9.8171900000000001,0.0106,15.974,0.024463864243384724,-0.075595126358405706,0.10005899060179044,16.074058990601792
439,2008ar,0.027320000000000001,-0.092002,9.9891400000000008,0.042200000000000001,16.183800000000002,0.039262160850068117,0.017135132061530681,0.022127028788537437,16.20592702878854
440,2008ar,0.027320000000000001,-0.065508999999999998,9.9891400000000008,0.021600000000000001,16.0383,0.025994524392083499,-0.0048982329317545717,0.030892757323838071,16.069192757323837
441,2008ar,0.027320000000000001,-0.070903999999999995,9.9891400000000008,0.0235,16.106000000000002,0.028207063508876491,-0.00067795184274951209,0.028885015351626003,16.134885015351628
442,AT2017ns,0.02802,0.22650000000000001,9.9007100000000001,0.0038999999999999998,15.943300000000001,0.065380523910699734,-0.17967346109998109,0.24505398501068082,16.188353985010682
462,ASASSN-16br,0.029000000000000001,-0.056093999999999998,9.6179000000000006,0.0207,16.253399999999999,0.022693940015703698,-0.01196374731318111,0.034657687328884808,16.288057687328884
463,AT2017zd,0.03048,-0.056015000000000002,9.9174900000000008,0.023199999999999998,16.025099999999998,0.022669174224910306,-0.012021482842326903,0.034690657067237209,16.059790657067236
472,AT2017lm,0.030020000000000002,-0.016333,9.5258900000000004,0.013599999999999999,16.301200000000001,0.015790036337154201,-0.038181072479645112,0.053971108816799312,16.355171108816801
478,ASASSN-16hr,0.0298,0.054685999999999998,9.4611300000000007,0.039899999999999998,16.2118,0.024443826593125433,-0.075556445071402648,0.10000027166452807,16.311800271664527
499,ATLAS17axb,0.032640000000000002,-0.10211099999999999,9.6075400000000002,0.048500000000000001,16.307200000000002,0.046004592641967698,0.026471492484383144,0.019533100157584554,16.326733100157586
508,010026,0.031739999999999997,-0.031578000000000002,9.6122200000000007,0.0154,16.421600000000002,0.017190577114300554,-0.028752509232698398,0.045943086346998951,16.467543086347
514,ASASSN-15pr,0.031890000000000002,-0.055939000000000003,9.5570699999999995,0.020899999999999998,16.655200000000001,0.022645394037100825,-0.012077002144824309,0.03472239618192513,16.689922396181927
540,ATLAS17ajs,0.033700000000000001,0.17557,9.5092800000000004,0.040599999999999997,16.7227,0.059441887566206303,-0.14039394575111402,0.19983583331732033,16.922535833317319
551,PTSS-16efw,0.03542,-0.12529399999999999,9.9605599999999992,0.067900000000000002,16.981000000000002,0.065328342859109642,0.050070262749823458,0.015258080109286185,16.996258080109289
555,ASASSN-15mi,0.035009999999999999,-0.0075760000000000003,9.5108300000000003,0.010800000000000001,16.298500000000001,0.015607600214263207,-0.043301526861803795,0.058909127076067005,16.357409127076068
559,ASASSN-15lu,0.035770000000000003,-0.041140999999999997,9.6585099999999997,0.012200000000000001,16.750499999999999,0.018832896914507631,-0.022461470476007193,0.041294367390514827,16.791794367390512
560,2008hj,0.036429999999999997,-0.075499999999999998,9.9460999999999995,0.0275,16.6752,0.030283437384196595,0.0030207405702517218,0.027262696813944873,16.702462696813946
561,2008hj,0.036429999999999997,-0.090515999999999999,9.9460999999999995,0.042000000000000003,16.630600000000001,0.03835260075413191,0.015808302924591441,0.022544297829540469,16.653144297829542
568,2000cf,0.036459999999999999,-0.047118,9.4923800000000007,0.0114,16.794499999999999,0.020180537183158594,-0.018366559047416218,0.038547096230574812,16.833047096230572
582,SN2017ciy,0.037620000000000001,0.012272999999999999,9.7065999999999999,0.0132,17.264700000000001,0.01668175550099394,-0.054244336471638607,0.070926091972632554,17.335626091972635
589,1999aw,0.039280000000000002,-0.057718999999999999,9.4183599999999998,0.028400000000000002,16.959499999999998,0.023214009300300955,-0.010770542835143525,0.033984552135444476,16.993484552135442
594,SN2016glz,0.039750000000000001,-0.00329,9.4019499999999994,0.0099000000000000008,16.738800000000001,0.015671512677319154,-0.045737639174581991,0.061409151851901142,16.800209151851902
606,AT2016htm,0.04265,-0.078320000000000001,9.4083799999999993,0.0298,16.948799999999999,0.031646748969622995,0.0053387320042388164,0.026308016965384179,16.975108016965383
612,ASASSN-15mg,0.043069999999999997,-0.044880999999999997,9.8438599999999994,0.012999999999999999,17.076799999999999,0.01964636758073169,-0.019914431837194876,0.039560799417926562,17.116360799417926
614,2005ku,0.043970000000000002,0.062239999999999997,9.6456800000000005,-0.0018,17.038599999999999,0.026403669842645541,-0.079198986869440574,0.10560265671208612,17.144202656712086
616,2006gt,0.043659999999999997,0.090384000000000006,9.9885300000000008,0.0223,17.258400000000002,0.034634708622610796,-0.092786886252243517,0.12742159487485433,17.385821594874855
622,SN2016esh,0.044880000000000003,-0.11222,9.4904799999999998,0.056899999999999999,16.904900000000001,0.053748855611101154,0.036372707530948054,0.0173761480801531,16.922276148080154
627,360156,0.046730000000000001,-0.028343,9.8038000000000007,0.013899999999999999,17.255099999999999,0.016772148057302531,-0.030812243767720411,0.047584391825022943,17.302684391825021
632,2016afk,0.046769999999999999,0.03245,9.4408600000000007,-0.0066,17.311199999999999,0.019584606731353392,-0.064637608869205582,0.084222215600558981,17.395422215600558
641,PS16el,0.048959999999999997,-0.040141000000000003,9.9841800000000003,0.0035000000000000001,17.216100000000001,0.018632013494193651,-0.023134019862123902,0.041766033356317553,17.257866033356319
647,2007kh,0.049439999999999998,0.11931,9.5678300000000007,-0.0054999999999999997,17.287299999999998,0.043795317274038403,-0.10735751636402491,0.15115283363806331,17.438452833638063
